,Date,Open,High,Low,Close,Volume
0,03/24/2011,180,177,168,168,500
1,03/30/2011,168,171,171,171,47
2,04/28/2011,171,168,165,165,520
3,05/11/2011,165,162,159,159,550
4,06/09/2011,159,166,166,166,10
5,08/07/2011,166,163,163,163,109
6,09/04/2011,163,160,160,160,407
7,09/22/2011,160,157,154,154,100
8,10/12/2011,154,154,154,154,20
