,Date,Open,High,Low,Close,Volume
0,03/25/2011,131,129,129,129,28
1,03/31/2011,129,127,125,125,53
2,05/02/2011,125,127,127,127,600
3,05/09/2011,127,125,125,125,64
4,05/18/2011,125,129,127,129,28
5,06/14/2011,129,127,120,120,2218
6,07/04/2011,120,118,118,118,28
7,08/25/2011,118,116,116,116,120
8,08/28/2011,116,116,116,116,166
9,11/08/2011,116,114,114,114,14
10,01/04/2012,114,112,112,112,18
11,01/05/2012,112,110,110,110,28
12,01/31/2012,110,108,108,108,36
13,02/01/2012,108,106,106,106,121
14,02/02/2012,106,106,105,106,530
15,02/05/2012,106,104,98,98,1807
16,02/07/2012,98,99,98,98,2263
17,02/12/2012,98,97,97,97,231
18,02/21/2012,97,100,98,100,104
19,03/01/2012,100,98,97,97,47
20,03/12/2012,97,96,95,95,80
21,03/13/2012,95,95,95,95,80
22,04/05/2012,95,96,96,96,100
23,04/10/2012,96,97,97,97,100
24,07/04/2012,97,98,98,98,20
25,08/14/2012,98,99,99,99,58
26,08/19/2012,99,100,100,100,820
27,08/21/2012,100,106,102,106,102
28,08/27/2012,106,110,108,110,22
29,09/02/2012,110,112,112,112,82
30,10/01/2012,112,122,114,122,500
31,10/01/2012,112,122,114,122,500
32,10/02/2012,122,124,124,124,34
33,10/03/2012,124,136,126,136,3887
34,10/04/2012,136,146,138,146,900
35,10/07/2012,146,153,148,151,1313
36,10/08/2012,151,152,150,150,133
37,10/11/2012,150,147,147,147,100
38,10/14/2012,147,148,143,143,1331
39,10/15/2012,143,146,142,146,715
40,10/17/2012,146,145,145,145,32
41,10/18/2012,145,143,143,143,34
42,11/01/2012,143,145,145,145,130
43,11/04/2012,145,147,143,144,4536
44,11/05/2012,144,147,146,147,927
45,11/06/2012,147,146,145,146,1100
46,11/20/2012,146,144,144,144,100
47,11/25/2012,144,142,142,142,100
48,11/26/2012,142,140,140,140,100
49,11/29/2012,140,140,140,140,58
50,12/09/2012,140,138,138,138,533
51,12/10/2012,138,136,136,136,500
52,12/17/2012,136,138,138,138,110
53,12/19/2012,138,136,136,136,285
54,01/21/2013,136,144,138,144,185
55,01/22/2013,144,146,146,146,51
56,01/28/2013,146,145,141,141,925
57,01/30/2013,141,143,141,141,150
58,01/31/2013,141,140,140,140,3448
59,02/10/2013,140,146,142,146,1200
60,02/12/2013,146,148,148,148,180
61,02/13/2013,148,147,146,147,2834
62,02/14/2013,147,148,147,148,1840
63,02/20/2013,148,148,146,146,1420
64,05/07/2013,146,131,131,131,37358
65,06/06/2013,131,132,132,132,465
66,06/09/2013,132,134,134,134,51
67,06/10/2013,134,136,134,134,240
68,06/20/2013,134,132,132,132,751
69,06/26/2013,132,132,132,132,115
70,07/02/2013,132,133,133,133,10189
71,07/03/2013,133,134,134,134,373
72,07/09/2013,134,134,134,134,500
73,07/15/2013,134,136,134,134,4127
74,07/16/2013,134,134,134,134,1750
75,07/17/2013,134,136,133,136,1194
76,07/18/2013,136,138,138,138,1000
77,07/29/2013,138,142,140,142,233
78,07/31/2013,142,144,144,144,85
79,08/01/2013,144,146,144,144,1400
80,08/05/2013,144,158,146,158,4450
81,08/06/2013,158,173,160,172,3163
82,08/07/2013,172,170,161,164,1269
83,08/11/2013,164,161,155,155,86
84,08/12/2013,155,152,149,149,108
85,08/13/2013,149,153,148,153,322
86,08/14/2013,153,162,156,162,143
87,08/20/2013,162,178,165,178,11087
88,08/25/2013,178,195,181,195,745
89,08/26/2013,195,214,198,214,6254
90,08/27/2013,214,235,218,235,8124
91,08/29/2013,235,258,239,258,9666
92,09/01/2013,258,283,263,283,22854
93,09/02/2013,283,291,275,275,10085
94,09/03/2013,275,270,265,265,549
95,09/04/2013,265,260,250,250,662
